Date,Bronx,Brooklyn,Citywide,Manhattan,Queens,Staten Island,(blank),Grand Total
1/8/14,1,1,,,,,,2
1/9/14,2,,,1,2,,,5
1/10/14,,,,1,1,,,2
1/11/14,,,,1,1,,,2
1/13/14,1,1,,,,,,2
1/14/14,,,,1,1,,,2
1/15/14,,1,,2,2,,,5
1/16/14,1,1,,3,,,,5
1/17/14,1,2,,,,1,,4
1/20/14,1,1,,,1,,,3
1/21/14,,,,1,,,,1
1/22/14,,1,,1,,,,2
1/23/14,2,,,3,1,,,6
1/24/14,1,,,1,,,,2
1/25/14,1,,,2,,,,3
1/26/14,,1,,1,,,,2
1/27/14,,1,,2,,,,3
1/28/14,,,,2,1,,,3
1/29/14,,1,,1,,1,,3
1/30/14,,1,,2,,,,3
1/31/14,1,,,1,,1,,3
2/1/14,,,,3,2,,,5
2/2/14,,,,1,,,,1
2/3/14,1,,,,,,,1
2/4/14,,,,,1,,,1
2/5/14,1,1,,5,,,,7
2/6/14,,,,3,,,,3
2/8/14,,1,,,,,,1
2/10/14,,,,1,,,,1
2/11/14,,,,1,,,,1
2/12/14,1,,,1,,,,2
2/13/14,1,1,,1,,,,3
2/14/14,1,,,1,2,1,,5
2/15/14,1,1,,,,,,2
2/16/14,,1,,,1,,,2
2/17/14,,1,,,2,,,3
2/19/14,4,1,,2,,,,7
2/21/14,,1,,2,,,,3
2/23/14,2,,,1,,,,3
2/24/14,,2,,1,1,1,,5
2/25/14,,1,,,1,,,2
2/26/14,1,1,,1,,,,3
2/27/14,,1,,,,1,,2
3/1/14,,,,1,,,,1
3/2/14,,,,1,,,,1
3/6/14,1,,,1,1,,,3
3/7/14,,,,1,,,,1
3/9/14,2,,,,,,,2
3/10/14,1,1,,,1,,,3
3/11/14,,1,,,,1,,2
3/12/14,,,,1,1,,,2
3/13/14,,1,,,,,,1
3/14/14,,,,2,,,,2
3/15/14,,1,,3,1,,,5
3/17/14,1,,,,,,,1
3/18/14,,1,,,,,,1
3/19/14,,,,1,,2,,3
3/20/14,,2,,1,1,,,4
3/21/14,,,,1,,,,1
3/23/14,1,,,,1,,,2
3/24/14,,1,,1,,,,2
3/25/14,1,,,1,,,,2
3/26/14,,1,,1,,,,2
3/27/14,,,,1,1,,,2
3/28/14,,2,,,,1,,3
3/29/14,,1,,,,1,,2
3/30/14,,3,,,,,,3
3/31/14,,,,2,,,,2
4/1/14,,,,1,,,,1
4/2/14,1,2,,2,1,,,6
4/3/14,,,,2,,,,2
4/4/14,,,,2,1,,,3
4/5/14,2,,,,,,,2
4/6/14,1,2,,1,1,,,5
4/7/14,1,,,1,,,,2
4/8/14,,1,,1,,,,2
4/10/14,1,3,,,,,,4
4/11/14,,,,2,,1,,3
4/12/14,,2,1,,,,,3
4/13/14,1,3,,,1,,,5
4/14/14,2,,,3,,1,,6
4/15/14,,,,,1,,,1
4/16/14,1,1,,1,,,,3
4/17/14,,,,,,1,,1
4/18/14,,,,1,,,,1
4/19/14,,,,1,1,,,2
4/21/14,,2,,,1,,,3
4/23/14,,,,1,,,,1
4/24/14,,,,1,,2,,3
4/25/14,,1,,,,,,1
4/27/14,,1,,,,,,1
4/28/14,,1,1,,1,,,3
4/29/14,,,,1,1,1,,3
4/30/14,1,2,,2,1,,,6
5/1/14,,,,2,3,2,,7
5/2/14,,1,,,1,,,2
5/3/14,,,,,1,,,1
5/4/14,,,,1,,,,1
5/5/14,,1,,2,,1,,4
5/7/14,,1,,,,,,1
5/8/14,,,,1,1,,,2
5/9/14,,1,,1,,,,2
5/12/14,,2,,1,,,,3
5/13/14,1,1,,,,,,2
5/14/14,,2,,2,1,,,5
5/15/14,1,1,,2,,,,4
5/16/14,,1,,1,,,,2
5/17/14,,,,1,,,,1
5/18/14,,,,,,,1,1
5/19/14,,,,1,1,,1,3
5/20/14,1,1,,1,,,,3
5/21/14,1,,,,,,1,2
5/22/14,,,,,,,1,1
5/23/14,,,,1,1,,,2
5/24/14,,,,,,1,,1
5/25/14,,,,1,,,,1
5/26/14,1,,,,,,,1
5/27/14,,1,,2,1,,,4
5/28/14,,,,1,1,,2,4
5/29/14,,,,1,1,1,,3
5/30/14,,,,1,,1,1,3
5/31/14,1,,,,,,1,2
6/1/14,,,,,,,1,1
6/2/14,,,,,,,1,1
6/3/14,,,,1,1,,,2
6/4/14,,1,,,,,1,2
6/5/14,,,,,,1,2,3
6/6/14,1,,,1,,,3,5
6/8/14,,,,1,,,,1
6/9/14,,,,1,2,,,3
6/10/14,,,,,,,1,1
6/11/14,,,,1,,,,1
6/12/14,,,,1,,,,1
6/13/14,,,,1,,,1,2
6/16/14,1,,,1,,,3,5
6/17/14,,,,2,1,,,3
6/18/14,,,,,1,1,1,3
6/19/14,,1,,,2,,,3
6/20/14,,1,,,2,,2,5
6/21/14,,,,,,1,1,2
6/22/14,,,,,,,1,1
6/23/14,,,,1,,,1,2
6/24/14,,1,,,,,2,3
6/25/14,,,,2,,,1,3
6/26/14,,1,,,1,,,2
6/28/14,,,,,1,,,1
6/30/14,,1,,,,,1,2
7/1/14,1,,,1,,,1,3
7/2/14,,,,,,,2,2
7/3/14,1,1,,,,,2,4
7/4/14,,1,,,,,1,2
7/5/14,1,2,,,,,,3
7/6/14,,,,1,,,,1
7/7/14,,,,1,,1,,2
7/8/14,,,,3,,,1,4
7/9/14,,1,,,,,,1
7/10/14,,,,,,,1,1
7/11/14,,,,2,,,,2
7/12/14,,,,,,,1,1
7/14/14,,,,2,1,,,3
7/15/14,,,,3,,,,3
7/16/14,,,,2,,,,2
7/17/14,,,,1,1,,,2
7/18/14,,,,1,,,1,2
7/19/14,,,,2,1,,,3
7/22/14,,,,1,,,1,2
